step,roll,pitch,yaw,throttle,aux1,aux2
1,1500,1500,1500,1000,1000,1800
2,1500,1500,1500,1000,1000,1800
3,1500,1500,1500,1000,1000,1800
4,1500,1500,1500,1000,1000,1800
5,1500,1500,1500,1000,1000,1800
6,1500,1500,1500,1000,1000,1800
7,1500,1500,1500,1000,1000,1800
8,1500,1500,1500,1000,1000,1800
9,1500,1500,1500,1000,1000,1800
10,1500,1500,1500,1000,1000,1800
11,1500,1500,1500,1000,1000,1800
12,1500,1500,1500,1000,1000,1800
13,1500,1500,1500,1000,1000,1800
14,1500,1500,1500,1000,1000,1800
15,1500,1500,1500,1000,1000,1800
16,1500,1500,1500,1000,1000,1800
17,1500,1500,1500,1000,1000,1800
18,1500,1500,1500,1000,1000,1800
19,1500,1500,1500,1000,1000,1800
20,1500,1500,1500,1000,1000,1800
21,1500,1500,1500,1000,1000,1800
22,1500,1500,1500,1000,1000,1800
23,1500,1500,1500,1000,1000,1800
24,1500,1500,1500,1000,1000,1800
25,1500,1500,1500,1000,1000,1800
26,1500,1500,1500,1000,1000,1800
27,1500,1500,1500,1000,1000,1800
28,1500,1500,1500,1000,1000,1800
29,1500,1500,1500,1000,1000,1800
30,1500,1500,1500,1000,1000,1800
31,1500,1500,1500,1000,1000,1800
32,1500,1500,1500,1000,1000,1800
33,1500,1500,1500,1000,1000,1800
34,1500,1500,1500,1000,1000,1800
35,1500,1500,1500,1000,1000,1800
36,1500,1500,1500,1000,1000,1800
37,1500,1500,1500,1000,1000,1800
38,1500,1500,1500,1000,1000,1800
39,1500,1500,1500,1000,1000,1800
40,1500,1500,1500,1000,1000,1800
41,1500,1500,1500,1000,1000,1800
42,1500,1500,1500,1000,1000,1800
43,1500,1500,1500,1000,1000,1800
44,1500,1500,1500,1000,1000,1800
45,1500,1500,1500,1000,1000,1800
46,1500,1500,1500,1000,1000,1800
47,1500,1500,1500,1000,1000,1800
48,1500,1500,1500,1000,1000,1800
49,1500,1500,1500,1000,1000,1800
50,1500,1500,1500,1000,1000,1800
51,1500,1500,1500,1000,1000,1800
52,1500,1500,1500,1000,1000,1800
53,1500,1500,1500,1000,1000,1800
54,1500,1500,1500,1000,1000,1800
55,1500,1500,1500,1000,1000,1800
56,1500,1500,1500,1000,1000,1800
57,1500,1500,1500,1000,1000,1800
58,1500,1500,1500,1000,1000,1800
59,1500,1500,1500,1000,1000,1800
60,1500,1500,1500,1000,1000,1800
61,1500,1500,1500,1000,1000,1800
62,1500,1500,1500,1000,1000,1800
63,1500,1500,1500,1000,1000,1800
64,1500,1500,1500,1000,1000,1800
65,1500,1500,1500,1000,1000,1800
66,1500,1500,1500,1000,1000,1800
67,1500,1500,1500,1000,1000,1800
68,1500,1500,1500,1000,1000,1800
69,1500,1500,1500,1000,1000,1800
70,1500,1500,1500,1000,1000,1800
71,1500,1500,1500,1000,1000,1800
72,1500,1500,1500,1000,1000,1800
73,1500,1500,1500,1000,1000,1800
74,1500,1500,1500,1000,1000,1800
75,1500,1500,1500,1000,1000,1800
76,1500,1500,1500,1000,1800,1800
77,1500,1500,1500,1000,1800,1800
78,1500,1500,1500,1000,1800,1800
79,1500,1500,1500,1000,1800,1800
80,1500,1500,1500,1000,1800,1800
81,1500,1500,1500,1000,1800,1800
82,1500,1500,1500,1000,1800,1800
83,1500,1500,1500,1000,1800,1800
84,1500,1500,1500,1000,1800,1800
85,1500,1500,1500,1000,1800,1800
86,1500,1500,1500,1000,1800,1800
87,1500,1500,1500,1000,1800,1800
88,1500,1500,1500,1000,1800,1800
89,1500,1500,1500,1000,1800,1800
90,1500,1500,1500,1000,1800,1800
91,1500,1500,1500,1000,1800,1800
92,1500,1500,1500,1000,1800,1800
93,1500,1500,1500,1000,1800,1800
94,1500,1500,1500,1000,1800,1800
95,1500,1500,1500,1000,1800,1800
96,1500,1500,1500,1000,1800,1800
97,1500,1500,1500,1000,1800,1800
98,1500,1500,1500,1000,1800,1800
99,1500,1500,1500,1000,1800,1800
100,1500,1500,1500,1000,1800,1800
101,1500,1500,1500,1000,1800,1800
102,1500,1500,1500,1000,1800,1800
103,1500,1500,1500,1000,1800,1800
104,1500,1500,1500,1000,1800,1800
105,1500,1500,1500,1000,1800,1800
106,1500,1500,1500,1000,1800,1800
107,1500,1500,1500,1000,1800,1800
108,1500,1500,1500,1000,1800,1800
109,1500,1500,1500,1000,1800,1800
110,1500,1500,1500,1000,1800,1800
111,1500,1500,1500,1000,1800,1800
112,1500,1500,1500,1000,1800,1800
113,1500,1500,1500,1000,1800,1800
114,1500,1500,1500,1000,1800,1800
115,1500,1500,1500,1000,1800,1800
116,1500,1500,1500,1000,1800,1800
117,1500,1500,1500,1000,1800,1800
118,1500,1500,1500,1000,1800,1800
119,1500,1500,1500,1000,1800,1800
120,1500,1500,1500,1000,1800,1800
121,1500,1500,1500,1000,1800,1800
122,1500,1500,1500,1000,1800,1800
123,1500,1500,1500,1000,1800,1800
124,1500,1500,1500,1000,1800,1800
125,1500,1500,1500,1000,1800,1800
126,1500,1500,1500,1000,1800,1800
127,1500,1500,1500,1000,1800,1800
128,1500,1500,1500,1000,1800,1800
129,1500,1500,1500,1000,1800,1800
130,1500,1500,1500,1000,1800,1800
131,1500,1500,1500,1000,1800,1800
132,1500,1500,1500,1000,1800,1800
133,1500,1500,1500,1000,1800,1800
134,1500,1500,1500,1000,1800,1800
135,1500,1500,1500,1000,1800,1800
136,1500,1500,1500,1000,1800,1800
137,1500,1500,1500,1000,1800,1800
138,1500,1500,1500,1000,1800,1800
139,1500,1500,1500,1000,1800,1800
140,1500,1500,1500,1000,1800,1800
141,1500,1500,1500,1000,1800,1800
142,1500,1500,1500,1000,1800,1800
143,1500,1500,1500,1000,1800,1800
144,1500,1500,1500,1000,1800,1800
145,1500,1500,1500,1000,1800,1800
146,1500,1500,1500,1000,1800,1800
147,1500,1500,1500,1000,1800,1800
148,1500,1500,1500,1000,1800,1800
149,1500,1500,1500,1000,1800,1800
