front_m,bottom_m,left_m,right_m,top_m,obstacle_within_0p20m_direction
,,,0.100,,right
,,0.419,0.100,,right
,,0.419,0.100,1.933,right
0.460,,0.419,0.100,1.933,right
0.460,,0.419,0.099,1.933,right
0.460,,0.430,0.099,1.933,right
0.460,0.029,0.430,0.099,1.933,bottom
0.460,0.029,0.430,0.099,1.946,bottom
0.460,0.029,0.430,0.099,1.946,bottom
0.460,0.029,0.430,0.100,1.946,bottom
0.460,0.029,0.421,0.100,1.946,bottom
0.460,0.044,0.421,0.100,1.946,bottom
0.460,0.044,0.421,0.100,1.950,bottom
0.469,0.044,0.421,0.100,1.950,bottom
0.469,0.044,0.421,0.099,1.950,bottom
0.469,0.042,0.421,0.099,1.950,bottom
0.469,0.042,0.421,0.099,1.953,bottom
0.463,0.042,0.421,0.099,1.953,bottom
0.463,0.042,0.421,0.100,1.953,bottom
0.463,0.043,0.421,0.100,1.953,bottom
0.463,0.043,0.421,0.100,1.941,bottom
0.458,0.043,0.421,0.100,1.941,bottom
0.458,0.043,0.421,0.099,1.941,bottom
0.458,0.045,0.421,0.099,1.941,bottom
0.458,0.045,0.421,0.099,1.953,bottom
0.464,0.045,0.421,0.099,1.953,bottom
0.464,0.045,0.421,0.099,1.953,bottom
0.464,0.044,0.421,0.099,1.953,bottom
0.464,0.044,0.421,0.099,1.944,bottom
0.463,0.044,0.421,0.099,1.944,bottom
0.463,0.044,0.421,0.100,1.944,bottom
0.463,0.045,0.421,0.100,1.944,bottom
0.464,0.045,0.421,0.100,1.944,bottom
0.464,0.045,0.421,0.100,1.941,bottom
0.464,0.045,0.421,0.102,1.941,bottom
0.464,0.045,0.421,0.102,1.941,bottom
0.464,0.045,0.421,0.102,1.952,bottom
0.458,0.045,0.421,0.102,1.952,bottom
0.458,0.045,0.421,0.097,1.952,bottom
0.458,0.046,0.421,0.097,1.952,bottom
0.460,0.046,0.421,0.097,1.952,bottom
0.460,0.046,0.421,0.097,1.947,bottom
0.460,0.046,0.421,0.101,1.947,bottom
0.460,0.044,0.421,0.101,1.947,bottom
0.463,0.044,0.421,0.101,1.947,bottom
0.463,0.044,0.421,0.101,1.934,bottom
0.463,0.044,0.421,0.100,1.934,bottom
0.463,0.043,0.421,0.100,1.934,bottom
0.461,0.043,0.421,0.100,1.934,bottom
0.461,0.043,0.421,0.100,1.946,bottom
0.461,0.043,0.421,0.100,1.946,bottom
0.461,0.044,0.421,0.100,1.946,bottom
0.460,0.044,0.421,0.100,1.946,bottom
0.460,0.044,0.421,0.100,1.940,bottom
0.460,0.044,0.421,0.100,1.940,bottom
0.460,0.044,0.421,0.100,1.940,bottom
0.462,0.044,0.421,0.100,1.940,bottom
0.462,0.044,0.421,0.100,1.945,bottom
0.462,0.044,0.421,0.101,1.945,bottom
0.462,0.043,0.421,0.101,1.945,bottom
0.461,0.043,0.421,0.101,1.945,bottom
0.461,0.043,0.421,0.101,1.948,bottom
0.461,0.043,0.421,0.101,1.948,bottom
0.461,0.043,0.421,0.101,1.948,bottom
0.461,0.043,0.421,0.101,1.948,bottom
0.461,0.043,0.421,0.101,1.937,bottom
0.461,0.043,0.421,0.100,1.937,bottom
0.461,0.043,0.421,0.100,1.937,bottom
0.462,0.043,0.421,0.100,1.937,bottom
0.462,0.043,0.421,0.100,1.944,bottom
0.462,0.043,0.421,0.099,1.944,bottom
