front_m,bottom_m,left_m,right_m,top_m,obstacle_within_0p20m_direction
,,0.417,,,none
0.020,,0.417,,,front
0.020,,0.417,0.080,,front
0.020,0.026,0.417,0.080,,front
0.020,0.026,0.410,0.080,,front
0.043,0.026,0.410,0.080,,bottom
0.043,0.026,0.410,0.081,,bottom
0.043,0.040,0.410,0.081,,bottom
0.045,0.040,0.410,0.081,,bottom
0.045,0.040,0.409,0.081,,bottom
0.045,0.040,0.409,0.078,,bottom
0.045,0.040,0.409,0.078,,bottom
0.045,0.040,0.409,0.078,,bottom
0.045,0.040,0.413,0.078,,bottom
0.045,0.040,0.413,0.079,,bottom
0.045,0.040,0.413,0.079,,bottom
0.045,0.040,0.413,0.079,,bottom
0.045,0.040,0.411,0.079,,bottom
0.045,0.040,0.411,0.079,,bottom
0.045,0.039,0.411,0.079,,bottom
0.043,0.039,0.411,0.079,,bottom
0.043,0.039,0.412,0.079,,bottom
0.043,0.039,0.412,0.078,,bottom
0.043,0.040,0.412,0.078,,bottom
0.043,0.040,0.412,0.078,,bottom
0.043,0.040,0.413,0.078,,bottom
0.043,0.040,0.413,0.081,,bottom
0.043,0.039,0.413,0.081,,bottom
0.043,0.039,0.413,0.081,,bottom
0.043,0.039,0.414,0.081,,bottom
0.043,0.039,0.414,0.080,,bottom
0.043,0.041,0.414,0.080,,bottom
0.043,0.041,0.414,0.080,,bottom
0.043,0.041,0.411,0.080,,bottom
0.043,0.041,0.411,0.079,,bottom
0.043,0.042,0.411,0.079,,bottom
0.043,0.042,0.411,0.079,,bottom
0.043,0.042,0.409,0.079,,bottom
0.043,0.042,0.409,0.080,,bottom
0.043,0.040,0.409,0.080,,bottom
0.044,0.040,0.409,0.080,,bottom
0.044,0.040,0.409,0.081,,bottom
0.044,0.040,0.412,0.081,,bottom
0.044,0.040,0.412,0.081,,bottom
0.043,0.040,0.412,0.081,,bottom
0.043,0.040,0.412,0.080,,bottom
0.043,0.040,0.411,0.080,,bottom
0.043,0.040,0.411,0.080,,bottom
0.045,0.040,0.411,0.080,,bottom
0.045,0.040,0.411,0.079,,bottom
0.045,0.040,0.417,0.079,,bottom
0.045,0.042,0.417,0.079,,bottom
0.043,0.042,0.417,0.079,,bottom
0.043,0.042,0.417,0.079,,bottom
0.043,0.042,0.409,0.079,,bottom
0.043,0.041,0.409,0.079,,bottom
0.044,0.041,0.409,0.079,,bottom
0.044,0.041,0.409,0.080,,bottom
0.044,0.041,0.410,0.080,,bottom
0.044,0.042,0.410,0.080,,bottom
0.045,0.042,0.410,0.080,,bottom
0.045,0.042,0.410,0.080,,bottom
0.045,0.042,0.416,0.080,,bottom
0.045,0.039,0.416,0.080,,bottom
0.042,0.039,0.416,0.080,,bottom
0.042,0.039,0.416,0.081,,bottom
0.042,0.039,0.414,0.081,,bottom
0.042,0.040,0.414,0.081,,bottom
0.043,0.040,0.414,0.081,,bottom
0.043,0.040,0.414,0.082,,bottom
0.043,0.040,0.413,0.082,,bottom
0.043,0.040,0.413,0.082,,bottom
0.044,0.040,0.413,0.082,,bottom
0.044,0.040,0.413,0.081,,bottom
0.044,0.040,0.410,0.081,,bottom
0.044,0.040,0.410,0.081,,bottom
0.042,0.040,0.410,0.081,,bottom
0.042,0.040,0.410,0.079,,bottom
0.042,0.040,0.410,0.079,,bottom
0.042,0.039,0.410,0.079,,bottom
0.044,0.039,0.410,0.079,,bottom
0.044,0.039,0.410,0.080,,bottom
0.044,0.039,0.408,0.080,,bottom
0.044,0.042,0.408,0.080,,bottom
0.044,0.042,0.408,0.080,,bottom
0.044,0.042,0.408,0.080,,bottom
0.044,0.042,0.409,0.080,,bottom
0.044,0.040,0.409,0.080,,bottom
0.043,0.040,0.409,0.080,,bottom
0.043,0.040,0.409,0.080,,bottom
0.043,0.040,0.408,0.080,,bottom
0.043,0.039,0.408,0.080,,bottom
